paper_id,title,authors,venue,year,pdf_url,proceedings_url,source_retrieved_date,selection_status,award_status,screening_level,pdf_text_retrieved,caption_candidates_extracted,analyst_caption_reviewed,visual_reviewed,pdf_title_token_check,caption_candidate_count,figure_candidates,caption_window_excerpt,excerpt_note,candidate_window_keyword_tags,retrieval_limitation,selection_note
p0001,PAC-Bayesian Bounds on Rate-Efficient Classifiers,"Alhabib Abbas, Yiannis Andreopoulos",ICML,2022,https://proceedings.mlr.press/v162/abbas22a/abbas22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,1,"[{""figure"": 1, ""pdf_page"": 4}]","Observation model of η-enabled rate-efficient inference. By combining analytical guarantees with measures of compression noise, we realize rate-efficient machines that bound noise",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""efficiency_or_tradeoff"", ""uncertainty_or_distribution""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0002,Sharp-MAML: Sharpness-Aware Model-Agnostic Meta Learning,"Momin Abbas, Quan Xiao, Lisha Chen, Pin-Yu Chen, Tianyi Chen",ICML,2022,https://proceedings.mlr.press/v162/abbas22b/abbas22b.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,1,"[{""figure"": 1, ""pdf_page"": 4}]",Loss landscapes of MAML and ERM for a single task on CIFAR-100 dataset. Details of the architecture are given in Section 5.1.,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""method_or_architecture"", ""worked_example_or_problem""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0003,An Initial Alignment between Neural Network and Target is Needed for Gradient Descent to Learn,"Emmanuel Abbe, Elisabetta Cornacchia, Jan Hazla, Christopher Marquis",ICML,2022,https://proceedings.mlr.press/v162/abbe22a/abbe22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 8}, {""figure"": 2, ""pdf_page"": 8}]","Comparison of INAL and generalization accuracy for three Boolean functions. On the left, we estimate the INAL between each target function and",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""quantitative_comparison""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0004,Meaningfully debugging model mistakes using conceptual counterfactual explanations,"Abubakar Abid, Mert Yuksekgonul, James Zou",ICML,2022,https://proceedings.mlr.press/v162/abid22a/abid22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,1,"[{""figure"": 1, ""pdf_page"": 3}]","Explaining with Conceptual Counterfactuals: (a) In generating conceptual explanations, the first step is to define a concept library. After defining a concept",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,[],"Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0005,Hierarchical Shrinkage: Improving the accuracy and interpretability of tree-based models.,"Abhineet Agarwal, Yan Shuo Tan, Omer Ronen, Chandan Singh, Bin Yu",ICML,2022,https://proceedings.mlr.press/v162/agarwal22b/agarwal22b.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 2}, {""figure"": 2, ""pdf_page"": 2}]",Diagram showing how HS works for a toy tree model. The predictions over each tree node (including internal nodes) gets shrunk toward,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""worked_example_or_problem""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0006,Learning of Cluster-based Feature Importance for Electronic Health Record Time-series,"Henrique Aguiar, Mauro Santos, Peter Watkinson, Tingting Zhu",ICML,2022,https://proceedings.mlr.press/v162/aguiar22a/aguiar22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,2,"[{""figure"": 1, ""pdf_page"": 4}, {""figure"": 2, ""pdf_page"": 4}]",Diagram of proposed model. MLP - Multilayer Perceptron neural network blocks; RNN - Recurrent Neural Network. Let N denote the number of,Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""efficiency_or_tradeoff""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0007,On the Convergence of the Shapley Value in Parametric Bayesian Learning Games,"Lucas Agussurja, Xinyi Xu, Bryan Kian Hsiang Low",ICML,2022,https://proceedings.mlr.press/v162/agussurja22a/agussurja22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,1,"[{""figure"": 1, ""pdf_page"": 3}]","An illustrative example of a 3-player parametric Bayesian learning game. random samples. In our example, θ ∗ is a vector of four",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""worked_example_or_problem""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0008,Minimum Cost Intervention Design for Causal Effect Identification,"Sina Akbari, Jalal Etesami, Negar Kiyavash",ICML,2022,https://proceedings.mlr.press/v162/akbari22a/akbari22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,False,False,passed_70_percent_threshold,1,"[{""figure"": 1, ""pdf_page"": 2}]","An example of a semi-Markovian graph. In this example, pa(x) = {v3, s2}, biD(x) = {v3, s1, v1}, and pa↔(x) = {v3}.",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""worked_example_or_problem"", ""qualitative_outputs""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0009,How Faithful is your Synthetic Data? Sample-level Metrics for Evaluating and Auditing Generative Models,"Ahmed Alaa, Boris Van Breugel, Evgeny S. Saveliev, Mihaela van der Schaar",ICML,2022,https://proceedings.mlr.press/v162/alaa22a/alaa22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,caption_candidates_extracted,True,True,True,False,passed_70_percent_threshold,3,"[{""figure"": 1, ""pdf_page"": 1}, {""figure"": 2, ""pdf_page"": 3}, {""figure"": 3, ""pdf_page"": 5}]","Pictorial depiction for the proposed metrics. The blue and red spheres correspond to the α- and β-supports of real and generative distributions,",Automatically extracted first 22 words starting at a caption-like line; may include neighboring text.,"[""method_or_architecture"", ""worked_example_or_problem"", ""uncertainty_or_distribution""]","Bounded browser PDF text windows, not full-paper reading","Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
p0010,Deploying Convolutional Networks on Untrusted Platforms Using 2D Holographic Reduced Representations,"Mohammad Mahmudul Alam, Edward Raff, Tim Oates, James Holt",ICML,2022,https://proceedings.mlr.press/v162/alam22a/alam22a.pdf,https://proceedings.mlr.press/v162/,2026-09-09,convenience_sample_candidate,not_checked,metadata_catalogued,False,False,False,False,not_run,0,[],,,[],PDF exceeded browser size limit,"Bounded proceedings windows; title-prioritized for AI model, method and empirical relevance; not ranked by figure quality."
